Language,Model,Tokens,Spearman's Rho
english,temporal_attention,250000,0.39694114090275784
english,temporal_attention,250000,0.5603177514654818
english,temporal_attention,250000,0.21827020322639695
english,temporal_attention,250000,0.38840477228119313
english,temporal_attention,250000,0.26699864077449537
english,temporal_attention,250000,0.3502282348347511
english,temporal_attention,250000,0.45562867517601496
english,temporal_attention,250000,0.2411524135592023
english,temporal_attention,250000,0.3022111613384497
english,temporal_attention,250000,0.36860513950617496
english,temporal_attention,750000,0.39409568469556955
english,temporal_attention,750000,0.2856126667965183
english,temporal_attention,750000,0.18839291305092054
english,temporal_attention,750000,0.3278202672031437
english,temporal_attention,750000,0.27292667453947084
english,temporal_attention,750000,0.36872370018147455
english,temporal_attention,750000,0.37548165867354655
english,temporal_attention,750000,0.2609520463342204
english,temporal_attention,750000,0.3590017248069147
english,temporal_attention,750000,0.4168593343530753
english,temporal_attention,1250000,0.3140672288684006
english,temporal_attention,1250000,0.25680242269873754
english,temporal_attention,1250000,0.44685518520385126
english,temporal_attention,1250000,0.27553500939606007
english,temporal_attention,1250000,0.35734187535272155
english,temporal_attention,1250000,0.5159760589034653
english,temporal_attention,1250000,0.3745331732711505
english,temporal_attention,1250000,0.1798565444293559
english,temporal_attention,1250000,0.5321003107441986
english,temporal_attention,1250000,0.30078843323485555
english,temporal_attention,1750000,0.4033434173689313
english,temporal_attention,1750000,0.6025253518721072
english,temporal_attention,1750000,0.39575553414976267
english,temporal_attention,1750000,0.10919438195084823
english,temporal_attention,1750000,0.42907108390892484
english,temporal_attention,1750000,0.35129528091244666
english,temporal_attention,1750000,0.44092715143887573
english,temporal_attention,1750000,0.3111032119859129
english,temporal_attention,1750000,0.24091529220860328
english,temporal_attention,1750000,0.4077301623550131
english,temporal_attention,2250000,0.3693165035579721
english,temporal_attention,2250000,0.30007706918305854
english,temporal_attention,2250000,0.3471456572769638
english,temporal_attention,2250000,0.4285968412077268
english,temporal_attention,2250000,0.3429960336414809
english,temporal_attention,2250000,0.39208015321547784
english,temporal_attention,2250000,0.4820677057678056
english,temporal_attention,2250000,0.18424328941543774
english,temporal_attention,2250000,0.3977710656298543
english,temporal_attention,2250000,0.4396229840105812
english,temporal_attention,2750000,0.12840121134936877
english,temporal_attention,2750000,0.3597130888587118
english,temporal_attention,2750000,0.38638924080110143
english,temporal_attention,2750000,0.24719900799947728
english,temporal_attention,2750000,0.33540815042231237
english,temporal_attention,2750000,0.4367775278033929
english,temporal_attention,2750000,0.19953761652907448
english,temporal_attention,2750000,0.5108779498655864
english,temporal_attention,2750000,0.34216610891438437
english,temporal_attention,2750000,0.4892999069610757
english,temporal_attention,3250000,0.4046475847972259
english,temporal_attention,3250000,0.47696959672992667
english,temporal_attention,3250000,0.30149979728665266
english,temporal_attention,3250000,0.46523208987527526
english,temporal_attention,3250000,0.48100065969010997
english,temporal_attention,3250000,0.6637026603266541
english,temporal_attention,3250000,0.38318810256801467
english,temporal_attention,3250000,0.3023297220137492
english,temporal_attention,3250000,0.4015650072394386
english,temporal_attention,3250000,0.38354378459391314
english,temporal_attention,3750000,0.3846108306716088
english,temporal_attention,3750000,0.30161835796195213
english,temporal_attention,3750000,0.37891991825723237
english,temporal_attention,3750000,0.2865611521989144
english,temporal_attention,3750000,0.10314778751057326
english,temporal_attention,3750000,0.47851088550882026
english,temporal_attention,3750000,0.4264627490523356
english,temporal_attention,3750000,0.1311281068812575
english,temporal_attention,3750000,0.5376726624832755
english,temporal_attention,3750000,0.22668801117266216
english,temporal_attention,4250000,0.4326279041679101
english,temporal_attention,4250000,0.45752564598080714
english,temporal_attention,4250000,0.4794593709112164
english,temporal_attention,4250000,0.47696959672992667
english,temporal_attention,4250000,0.42278736811805084
english,temporal_attention,4250000,0.047542830795103304
english,temporal_attention,4250000,0.32734602450194566
english,temporal_attention,4250000,0.400260839811144
english,temporal_attention,4250000,0.30683502767513054
english,temporal_attention,4250000,0.3918430318648789
english,temporal_attention,4750000,0.19669216032188624
english,temporal_attention,4750000,0.49925900368623444
english,temporal_attention,4750000,0.38887901498239114
english,temporal_attention,4750000,0.21601755039570628
english,temporal_attention,4750000,0.3488055067311569
english,temporal_attention,4750000,0.3413361841872878
english,temporal_attention,4750000,0.5067283262301036
english,temporal_attention,4750000,0.41946766920966455
english,temporal_attention,4750000,0.23712135059901895
english,temporal_attention,4750000,0.5358942523537829
english,temporal_attention,5250000,0.35769755737862013
english,temporal_attention,5250000,0.24340506638989295
english,temporal_attention,5250000,0.2449463551687866
english,temporal_attention,5250000,0.3024482826890487
english,temporal_attention,5250000,0.2928448679897884
english,temporal_attention,5250000,0.40512182749842385
english,temporal_attention,5250000,0.4216017613650557
english,temporal_attention,5250000,0.44080859076357626
english,temporal_attention,5250000,0.2591736362047277
english,temporal_attention,5250000,0.237595593300217
english,temporal_attention,5750000,0.3061236636233335
english,temporal_attention,5750000,0.2553796945951434
english,temporal_attention,5750000,0.23522437979422683
english,temporal_attention,5750000,0.362795666416499
english,temporal_attention,5750000,0.03284130705796413
english,temporal_attention,5750000,0.2800403150574414
english,temporal_attention,5750000,0.32402632559355943
english,temporal_attention,5750000,0.28253008923873113
english,temporal_attention,5750000,0.2477918113759748
english,temporal_attention,5750000,0.3498725528088525
english,temporal_attention,6250000,0.2473175686747768
english,temporal_attention,6250000,0.14914932952678295
english,temporal_attention,6250000,0.3030410860655463
english,temporal_attention,6250000,0.27458652399366396
english,temporal_attention,6250000,0.22052285605708763
english,temporal_attention,6250000,0.43405063227150426
english,temporal_attention,6250000,0.36149149898820443
english,temporal_attention,6250000,0.48941846763637514
english,temporal_attention,6250000,0.33528958974701284
english,temporal_attention,6250000,0.4143695601717856
